source_product_code,target_product_code,relation_type,source,confidence,target_resolved,notes
C99,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
C99,inRiver_3086862,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
C100,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
C100,inRiver_3086862,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
C101,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
C101,inRiver_3086862,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
C102,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
C102,inRiver_3086862,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
C103,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
C103,inRiver_3086862,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
21226IN-HP1,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
21226IN-HP1,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
21226IN-SS-0,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
21226IN-SS-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
2200IN-0,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
2200IN-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
5373IN-0,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
5373IN-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
25318IN-0,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
25318IN-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
25316IN-0,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
25316IN-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
75374IN-1-0,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
75374IN-1-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
75375IN-0,inRiver_1482653,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
75375IN-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1482653; inRiver_1730109
28784IN-0,inRiver_1730109,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
28784IN-0,inRiver_3086862,requires,kohler_api,1.0,false,Explicit normalized required_components reference: inRiver_1730109; inRiver_3086862
