source_product_code,target_reference,target_product_code,relation_type,source,confidence,resolution_status,notes
24717IN-CP,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24717IN-CP,inRiver_2371536,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
72421IN-CP,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
98445IN-CP,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
98444IN-CP,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
97009IN-CP,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
97009IN-CP,inRiver_2371536,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26286IN-G-AF,inRiver_1337884,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26286IN-G-AF,inRiver_2371536,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
97009T-AF,inRiver_558981,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24717T-BL,inRiver_201659,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24717T-BL,inRiver_241724,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24717T-BL,inRiver_242351,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24717T-BL,inRiver_242359,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_241724,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_240804,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_242359,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_201659,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_240787,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
22166-CP,inRiver_242351,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
9301IN-CL-CP,inRiver_559635,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
9301IN-CL-CP,inRiver_558250,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
9301IN-CL-CP,inRiver_1336469,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
9302IN-CL-CP,inRiver_559635,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
76465IN-BL,inRiver_2492049,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
27724IN-CP,inRiver_1337905,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26290IN-CP,inRiver_559461,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26290IN-CP,inRiver_1482720,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26290IN-CP,inRiver_1337905,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26855IN-CP,inRiver_559635,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26855IN-CP,inRiver_559628,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26855IN-CP,inRiver_2492049,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26855IN-CP,inRiver_2371559,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26855IN-CP,inRiver_877874,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
73199IN-CP,inRiver_559628,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
73199IN-CP,inRiver_558250,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
73199IN-CP,inRiver_559635,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26856IN-CP,inRiver_559635,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26856IN-CP,inRiver_559628,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26856IN-CP,inRiver_2492049,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26856IN-CP,inRiver_2371559,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26856IN-CP,inRiver_877874,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26853IN-CP,inRiver_1337905,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
24547IN-CP,inRiver_1337905,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
73198IN-CP,inRiver_559628,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
73198IN-CP,inRiver_558250,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
73198IN-CP,inRiver_559635,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
18361IN-CL-AF,inRiver_559628,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
27731IN-CP,inRiver_1336470,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
27731IN-CP,inRiver_1336469,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
75924IN-CP,inRiver_1337905,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
75924IN-CP,inRiver_559461,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26294IN-AF,inRiver_559628,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26294IN-AF,inRiver_559635,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26294IN-AF,inRiver_558250,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
72425IN-CP,inRiver_1337905,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26296IN-AF,inRiver_1482276,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
26297IN-CP,inRiver_1482276,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
2349IN-FDL-96,inRiver_1933683,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
2349IN-FDL-96,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C98,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C98,inRiver_3086862,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C99,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C99,inRiver_3086862,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C100,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C100,inRiver_3086862,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C101,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C101,inRiver_3086862,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C102,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C102,inRiver_3086862,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C103,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C103,inRiver_3086862,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
21226IN-HP1,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
21226IN-HP1,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
21226IN-SS-0,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
21226IN-SS-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
2200IN-0,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
2200IN-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
5373IN-0,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
5373IN-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
25318IN-0,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
25318IN-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
25316IN-0,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
25316IN-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
75374IN-1-0,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
75374IN-1-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
75375IN-0,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
75375IN-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
28784IN-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
28784IN-0,inRiver_3086862,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
28783IN-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
28783IN-0,inRiver_3086862,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
31347IN-0,inRiver_2312522,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
31347IN-0,inRiver_3128234,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
7799IN-FDL-0,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
7799IN-FDL-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
20704-0,inRiver_1933656,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
20704-0,inRiver_232048,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
20704-0,inRiver_244082,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
20703-0,inRiver_200827,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
20703-0,inRiver_1933656,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C60,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C60,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
20217IN-S-0,inRiver_1336387,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
38785IN-0,inRiver_1336387,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
31458IN-0,inRiver_558305,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
31458IN-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
31460IN-0,inRiver_558305,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
31460IN-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C63,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C63,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C5,inRiver_558305,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C5,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
25317IN-0,inRiver_558305,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
25317IN-0,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C64,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C64,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C62,inRiver_1482653,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
C62,inRiver_1730109,,requires,kohler_api,0.0,unresolved,Reference was not present in captured PDP/API evidence.
