product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
29959IN-AF,"ModernLife Edge® Hexagonal 33 cm x 42.5 cm two-function overhead shower panel, 10.5 lpm",ModernLife Edge™,29959IN,Showering Area,Rainpanels,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29959in?skuId=29959IN-AF,139039.0,,,INR,"Hexagonal 33 cm x 42.5 cm two-function overhead shower panel, 10.5 lpm",Polished Chrome,AF,Durable brass construction; KOHLER finishes resist corrosion and tarnishing,Ceiling-mount; G 1/2 (13 mm) inlet connection,,"1 ML EDGE™ DF HEX 425X330MM(17""X13"") RP, 1 WARRANTY SHEET, INDIA, 1 INSTALLATION INSTRUCTIONS; None","Dual-function hexagonal shower panel features full coverage with Katalyst™ technology, a drenching spray experience ideal for rinsing shampoo from hair; Cloud spray experience restores with a thick cloud of silky, super-fine water droplets; Optimized sprayface for maximum performance; Flexible, silicone nozzles assure long life and easy clean; 2.77 gpm (10.5 lpm) maximum flow rate at 43.5 psi (3.0 bar)",,,,https://techcomm.kohler.com/techcomm/pdf/K-29959IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainpanels,False,
29961IN-CP,"ModernLife Edge™ 42.5 cm x 33 cm two-function rainhead, 2.0 and 11.5 lpm",ModernLife Edge™,29961IN,Showering Area,Rainpanels,https://www.kohler.co.in/p/modernlife-edge-df-rectangle-425x330mm-17-x13--29961in?skuId=29961IN-CP,83999.0,,,INR,"42.5 cm x 33 cm two-function rainhead, 2.0 and 11.5 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Ceiling-mount; G 1/2 inlet connection,,1 DUAL FLOW RAINHEAD; 1 INSTALLATION GUIDE 1 WARRANTY CARD; None,"Versatile, contemporary design; Dual-function rectangular rainhead features full coverage with Katalyst air-induction technology, a drenching spray experience ideal for rinsing shampoo from hair; Gentle mist spray restores, with a thick cloud of silky, super-fine water droplets; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Full coverage rain spray: 3.0 gpm (11.5 lpm) maximum flow rate at 43.5 psi (3.0 bar); Gentle mist spray: 0.5 gpm (2.0 lpm) maximum flow rate at 43.5 psi (3.0 bar)",,,,https://techcomm.kohler.com/techcomm/pdf/K-29961IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainpanels,False,
72830IN-L-CP,"Beitou® 28 cm x 55 cm three-function rainhead, 25.3 – 34.9 lpm",Beitou™,72830IN-L,Showering Area,Rainpanels,https://www.kohler.co.in/p/beitou-rainpanel-500x500-multifunction-rainpanel-in-polished-chrome-72830in-l?skuId=72830IN-L-CP,242799.0,,,INR,"28 cm x 55 cm three-function rainhead, 25.3 – 34.9 lpm",Polished Chrome,CP,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Wall-mount; Includes mounting hardware,,1 SHOWERHEAD;1 VALVE ASSY; 1 INSTALLATION GUIDE & 1 WARRANTY CARD; None,"Versatile modern design; Three function rainhead with cascade, rain, and laminar sprays; Cascade spray delivers a luxurious waterfall-like angled stream for complete rinsing; Full coverage rain with Katalyst™ air-induction technology delivers a drenching spray experience, ideal for rinsing shampoo from hair; Laminar flow; Integrated warm white lights powered by the water flow; Cascade spray: 9.2 gpm (34.9 lpm) maximum flow rate at 43.5 psi (3.0 bar) without regulator; Rain spray: 6.7 gpm (25.3 lpm) maximum flow rate at 43.5 psi (3.0 bar) without regulator; Laminar spray: 7.1 gpm (26.7 lpm) maximum flow rate at 43.5 psi (3.0 bar) without regulator; For simultaneous showerhead functions, a higher flow rate is required",,,,https://techcomm.kohler.com/techcomm/pdf/K-72830IN-L_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainpanels,False,
97167IN-CP,Loure™ Shower panel,Loure™,97167IN,Showering Area,Rainpanels,https://www.kohler.co.in/p/loure-shower-panel-97167in?skuId=97167IN-CP,313359.0,,,INR,Shower panel,Polished Chrome,CP,,Ceiling-mount,,"1 INSTALLATION MANUAL & 1 WARRANTY CARD,1-RAIN PANNEL; None",Dimension = 50 cm x 50 cm; Waterfall spray function provides an exhilerating experience; Rain curtain spray function provides a drenching rain experience,,,,https://techcomm.kohler.com/techcomm/pdf/K-97167IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainpanels,False,
97168IN-BL,"Loure™ Rectangular 80 cm x 60 cm four-function overhead shower panel, 11.8 lpm – 36.0 lpm",Loure™,97168IN,Showering Area,Rainpanels,https://www.kohler.co.in/p/loure-rectangular-800-mm-x-600-mm-four-function-overhead-shower-panel-11-8-lpm-36-0-lpm-97168in?skuId=97168IN-BL,582159.0,,,INR,"Rectangular 80 cm x 60 cm four-function overhead shower panel, 11.8 lpm – 36.0 lpm",Vibrant French Gold,BL,Premium material construction for durability and reliability; KOHLER finishes resist corrosion and tarnishing,Mounts flush to the surface of a drop ceiling; G 1/2 connection; Requires electrical connection,,"1 LOURE RECTANGLE MF RAINPANEL 600 X 800MM, 1 INSTALLATION INSTRUCTION, 1 WARRANTY SHEET, INDIA; None","Sleek, minimalist design; Advanced spray engine provides four alternate experiences: full coverage rain with Katalyst air-induction technology, rain curtain, cascade, and hydromassage spray; Full coverage rain with Katalyst™ air-induction technology delivers a drenching spray experience, ideal for rinsing shampoo from hair; Rain curtain provides a warm space to lather in the center of the shower, surrounded by a gentle curtain of rain; Cascade spray delivers two luxurious waterfall-like angled streams for complete soaking and rinsing; Hydromassage spray consists of four targeted kinetic streams to soothe tired and sore muscles; Corner LED lighting sets the mood, cycling through four automatically changing colors; Flexible, silicone nozzles assure long life and easy clean; MasterClean™ sprayface features an easy-to-clean surface that withstands mineral buildup and maximizes spray performance; Optimized sprayface for maximum performance; 3.1 gpm – 9.5 gpm (11.8 lpm – 36.0 lpm) maximum flow rate at 43.5 psi (3.0 bar); flow rate will vary by spray and with flow restrictor",,,,https://techcomm.kohler.com/techcomm/pdf/K-97168IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/showers/shop-rainpanels,False,
