parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
38973IN-CP,38973IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/pristine-rectangular-254-mm-single-function-filtered-rainhead-12-0-lpm-38973in?skuId=38973IN-CP
38973IN-CP,38973IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/pristine-rectangular-254-mm-single-function-filtered-rainhead-12-0-lpm-38973in?skuId=38973IN-CP
38973IN-CP,38973IN-AF,Vibrant Rose Gold,AF,Vibrant Rose Gold,,,https://www.kohler.co.in/p/pristine-rectangular-254-mm-single-function-filtered-rainhead-12-0-lpm-38973in?skuId=38973IN-CP
38973IN-CP,38973IN-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/pristine-rectangular-254-mm-single-function-filtered-rainhead-12-0-lpm-38973in?skuId=38973IN-CP
38973IN-CP,38973IN-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/pristine-rectangular-254-mm-single-function-filtered-rainhead-12-0-lpm-38973in?skuId=38973IN-CP
38973IN-CP,38973IN-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/pristine-rectangular-254-mm-single-function-filtered-rainhead-12-0-lpm-38973in?skuId=38973IN-CP
13693-CP,13693-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/traditional-round-10-rainhead-with-katalyst-air-induction-spray-2-5-gpm-13693?skuId=13693-CP
13693-CP,13693-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/traditional-round-10-rainhead-with-katalyst-air-induction-spray-2-5-gpm-13693?skuId=13693-CP
9301IN-ZX-RGD,9301IN-ZX-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/katalyst-air-square-384-mm-single-function-rainhead-22-2-lpm-9301in-zx?skuId=9301IN-ZX-RGD
9301IN-ZX-RGD,9301IN-ZX-BV,Vibrant Brushed Bronze,BV,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/katalyst-air-square-384-mm-single-function-rainhead-22-2-lpm-9301in-zx?skuId=9301IN-ZX-RGD
9301IN-ZX-RGD,9301IN-ZX-BRD,Vibrant Brushed Rose Gold,BRD,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/katalyst-air-square-384-mm-single-function-rainhead-22-2-lpm-9301in-zx?skuId=9301IN-ZX-RGD
38629IN-CP,38629IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/rain-max-square-305-mm-three-function-rainhead-14-5-31-0-lpm-38629in?skuId=38629IN-CP
38629IN-CP,38629IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/rain-max-square-305-mm-three-function-rainhead-14-5-31-0-lpm-38629in?skuId=38629IN-CP
38629IN-CP,38629IN-BL,Vibrant Rose Gold,BL,Vibrant Rose Gold,,,https://www.kohler.co.in/p/rain-max-square-305-mm-three-function-rainhead-14-5-31-0-lpm-38629in?skuId=38629IN-CP
38629IN-CP,38629IN-BRD,Vibrant Brushed Bronze,BRD,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/rain-max-square-305-mm-three-function-rainhead-14-5-31-0-lpm-38629in?skuId=38629IN-CP
38629IN-CP,38629IN-RGD,Matte Black,RGD,Matte Black,,,https://www.kohler.co.in/p/rain-max-square-305-mm-three-function-rainhead-14-5-31-0-lpm-38629in?skuId=38629IN-CP
38629IN-CP,38629IN-BV,Vibrant Brushed Rose Gold,BV,Vibrant Brushed Rose Gold,,,https://www.kohler.co.in/p/rain-max-square-305-mm-three-function-rainhead-14-5-31-0-lpm-38629in?skuId=38629IN-CP
39507IN-CP,39507IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/rainduet-round-250-mm-single-function-rainhead-10-5-lpm-39507in?skuId=39507IN-CP
39507IN-CP,39507IN-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/rainduet-round-250-mm-single-function-rainhead-10-5-lpm-39507in?skuId=39507IN-CP
39507IN-CP,39507IN-RGD,Vibrant Rose Gold,RGD,Vibrant Rose Gold,,,https://www.kohler.co.in/p/rainduet-round-250-mm-single-function-rainhead-10-5-lpm-39507in?skuId=39507IN-CP
39507IN-CP,39507IN-AF,Vibrant Brushed Bronze,AF,Vibrant Brushed Bronze,,,https://www.kohler.co.in/p/rainduet-round-250-mm-single-function-rainhead-10-5-lpm-39507in?skuId=39507IN-CP
39507IN-CP,39507IN-BV,Matte Black,BV,Matte Black,,,https://www.kohler.co.in/p/rainduet-round-250-mm-single-function-rainhead-10-5-lpm-39507in?skuId=39507IN-CP
98275IN-CL-CP,98275IN-CL-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/loure-17-katalyst-air-showerhead-98275in-cl?skuId=98275IN-CL-CP
26303T-CP,26303T-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/statement-ceiling-mount-single-function-iconic-dual-shower-arm-with-rainhead-and-handshower-26303t?skuId=26303T-CP
26303T-CP,26303T-BL,Vibrant French Gold,BL,Vibrant French Gold,,,https://www.kohler.co.in/p/statement-ceiling-mount-single-function-iconic-dual-shower-arm-with-rainhead-and-handshower-26303t?skuId=26303T-CP
26303T-CP,26303T-2MB,Vibrant Brushed Moderne Brass,,Vibrant Brushed Moderne Brass,,,https://www.kohler.co.in/p/statement-ceiling-mount-single-function-iconic-dual-shower-arm-with-rainhead-and-handshower-26303t?skuId=26303T-CP
26303T-CP,26303T-AF,Matte Black,AF,Matte Black,,,https://www.kohler.co.in/p/statement-ceiling-mount-single-function-iconic-dual-shower-arm-with-rainhead-and-handshower-26303t?skuId=26303T-CP
