parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
30460IN-MWF,30460IN-MWF,Natural Oak,MWF,Natural Oak,,,https://www.kohler.co.in/p/luxe-900-mm-wall-hung-bathroom-vanity-cabinet-30460in?skuId=30460IN-MWF
30460IN-MWF,30460IN-N21,Titanium Grey,,Titanium Grey,,,https://www.kohler.co.in/p/luxe-900-mm-wall-hung-bathroom-vanity-cabinet-30460in?skuId=30460IN-MWF
31601IN-E64,31601IN-E64,Dark Walnut,,Dark Walnut,,,https://www.kohler.co.in/p/forefront-900-mm-wall-hung-bathroom-vanity-cabinet-31601in?skuId=31601IN-E64
30459IN-MWF,30459IN-MWF,Natural Oak,MWF,Natural Oak,,,https://www.kohler.co.in/p/luxe-750-mm-wall-hung-bathroom-vanity-cabinet-30459in?skuId=30459IN-MWF
30459IN-MWF,30459IN-N21,Titanium Grey,,Titanium Grey,,,https://www.kohler.co.in/p/luxe-750-mm-wall-hung-bathroom-vanity-cabinet-30459in?skuId=30459IN-MWF
30457IN-MWF,30457IN-MWF,Natural Oak,MWF,Natural Oak,,,https://www.kohler.co.in/p/prologue-750-mm-wall-hung-bathroom-vanity-cabinet-30457in?skuId=30457IN-MWF
30457IN-MWF,30457IN-PSH,Light Taupe,PSH,Light Taupe,,,https://www.kohler.co.in/p/prologue-750-mm-wall-hung-bathroom-vanity-cabinet-30457in?skuId=30457IN-MWF
