parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
3983IN-S-0,3983IN-S-0,White,0,White,,,https://www.kohler.co.in/p/reach-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-3983in-s?skuId=3983IN-S-0
17629IN-SM-0,17629IN-SM-0,,0,,,,https://www.kohler.co.in/p/ove-1-pc-complete-toilet-bundle-in-white-1?skuId=17629IN-SM-0
1381T-S-0,1381T-S-0,White,0,White,,,https://www.kohler.co.in/p/veil-one-piece-elongated-toilet-with-skirted-trapway-dual-flush-1381t-s?skuId=1381T-S-0
8688T-S-0,8688T-S-0,White,0,White,,,https://www.kohler.co.in/p/san-raphael-grande-one-piece-elongated-toilet-with-skirted-trapway-4-8-lpf-8688t-s?skuId=8688T-S-0
29777IN-0,29777IN-0,White,0,White,,,https://www.kohler.co.in/p/innate-one-piece-elongated-smart-toilet-dual-flush-29777in?skuId=29777IN-0
5401IN-0,5401IN-0,White,0,White,,,https://www.kohler.co.in/p/veil-smart-one-piece-toilet-5401in?skuId=5401IN-0
17629T-NS-0,17629T-NS-0,White,0,White,,,https://www.kohler.co.in/p/ove-one-piece-round-front-toilet-with-skirted-trapway-dual-flush-17629t-ns?skuId=17629T-NS-0
75708IN-2SS-0,75708IN-2SS-0,White,0,White,,,https://www.kohler.co.in/p/veil-wall-hung-toilet-with-quiet-close-seat-75708in-2ss?skuId=75708IN-2SS-0
