parent_product_code,sku,finish,finish_code,color,current_price,list_price,product_url
97367T-B4-CP,97367T-B4-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/avid-floor-mount-bath-filler-with-handshower-97367t-b4?skuId=97367T-B4-CP
T9540-4-CP,T9540-4-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/deck-mount-trim-for-transfer-valve-vacuum-breaker-with-lever-handle-valve-not-included-t9540-4?skuId=T9540-4-CP
20077IN-CP,20077IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/aleo-bath-spout-w-diverter-20077in?skuId=20077IN-CP
20077IN-CP,20077IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/aleo-bath-spout-w-diverter-20077in?skuId=20077IN-CP
20077IN-CP,20077IN-BL,Matte Black,BL,Matte Black,,,https://www.kohler.co.in/p/aleo-bath-spout-w-diverter-20077in?skuId=20077IN-CP
22543IN-N-CP,22543IN-N-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/hone-wall-mount-bath-spout-22543in-n?skuId=22543IN-N-CP
22543IN-N-CP,22543IN-N-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/hone-wall-mount-bath-spout-22543in-n?skuId=22543IN-N-CP
27490IN-CP,27490IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/fore-bath-spout-without-diverter-27490in?skuId=27490IN-CP
27490IN-CP,27490IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/fore-bath-spout-without-diverter-27490in?skuId=27490IN-CP
27494IN-CP,27494IN-CP,Polished Chrome,CP,Polished Chrome,,,https://www.kohler.co.in/p/fore-arc-bath-spout-w-diverter-27494in?skuId=27494IN-CP
27494IN-CP,27494IN-AF,Vibrant French Gold,AF,Vibrant French Gold,,,https://www.kohler.co.in/p/fore-arc-bath-spout-w-diverter-27494in?skuId=27494IN-CP
