product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
14031-BU-96,Marrakesh™ Vanity-top with single faucet hole,Marrakesh,14031-BU,Basin Area,Vanity Top Basin,https://www.kohler.co.in/p/marrakesh-vanity-top-with-single-faucet-hole-14031-bu?skuId=14031-BU-96,410000.0,,,INR,55.4038 cm x 78.74 cm x 7.62 cm,Biscuit,,Vitreous china,Vanity top,,"1 MARRAKESH™  VIT. COUNTERTOP, 1-HOLE, 1 INSTALLATION INSTRUCTIONS, TRILINGUAL, 2 HOMEOWNERS GUIDE, TRILINGUAL, 1 INSERT, POTTED; None","Decorated with a Moroccan pattern; Single faucet hole; Fits industry-standard 30"" (76.2 cm) vanities; Part of the Top Art® Collection; Pairs with the K-14046-BU Marrakesh on Camber sink or the K-2349 Camber sink (sold separately)",,,,https://techcomm.kohler.com/techcomm/pdf/K-14031-BU_spec_US-CA_Kohler_en.pdf,True,https://www.kohler.co.in/p/washbasins/shop-vanity-top-basin,False,
2749T-1-0,Forefront™ 90 cm rectangular vessel bathroom sink with glazed underside,Forefront™,2749T-1,Basin Area,Vanity Top Basin,https://www.kohler.co.in/p/forefront-vanity-lavatory-with-single-faucet-hole-2749t-1?skuId=2749T-1-0,42799.0,,,INR,52.07 cm x 90.0113 cm x 19.5263 cm,White,0,Vitreous china,Vessel,,"1 LAVATORY;
1 ACCESSORY PACK
1 INSTALLATION INSTRUCTIONS; None",Contemporary design; Rectangular basins with rounded corners; Integrated rear faucet deck provides countertop space for placing small items; Single faucet hole at deck center; Center drain; With overflow; Glazed underside offers beauty from all angles; Coordinates with other products in the Forefront™ collection,,,,https://techcomm.kohler.com/techcomm/pdf/K-2749T-1_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/washbasins/shop-vanity-top-basin,False,
