product_code,product_name,collection,model,category,subcategory,product_url,current_price,list_price,discount,currency,dimensions,finish,finish_code,material,installation_type,rough_in,specifications,features,required_components,compatible_products,image_urls,spec_sheet_url,has_cad_assets,source_url,needs_manual_review,review_notes
29777IN-0,"Innate™ One-piece elongated smart toilet, dual-flush",Innate™,29777IN,Toilet Area,Smart Toilet,https://www.kohler.co.in/p/innate-one-piece-elongated-smart-toilet-dual-flush-29777in?skuId=29777IN-0,379999.0,,,INR,"One-piece elongated smart toilet, dual-flush",White,0,,"Standard 12"" (305 mm) rough-in; Requires dedicated electrical GFCI circuit (220-240 V, 10 A, 50-60 Hz)",,"1 TOILET;
1 FLOOR FIXING KIT;
1 INSTALLTION INSTRUCTIONS; 1 COMPLIANCE CERTIFICATION; None","Compact, streamlined one-piece smart toilet with integrated personal cleansing; Compact elongated bowl offers added comfort while requiring less space; Dual-flush offers a choice of .92 or 1.32 gpf (3.5 or 5.0 lpf); Fully skirted trapway simplifies cleaning; Quiet-Close™ elongated lid and seat prevents slamming; Stainless steel wand offers adjustable spray shape, position, water pressure, temperature, pulsate, and oscillate functions; Front and rear wash modes provide warm water for cleansing; Self-cleaning function uses UV light to automatically sanitize the wand surfaces; Motion-activated, hands-free opening/closing of cover; Bowl is automatically misted prior to use for more effective rinsing while flushing; Heated seat with adjustable temperature settings; Warm-air drying system; Automatic deodorization system; LED lighting illuminates the bowl to serve as a nightlight; Energy Save feature monitors usage and adjusts heated seat settings to save energy; Includes complete toilet and seat, supply stop valve, braided inlet supply hose, power cord, and remote control; Mounting hardware is completely concealed, giving a sleek, seamless look that is easy to clean; Automatic flushing after every use; flush can also be controlled by the remote control or backup button",,,,https://techcomm.kohler.com/techcomm/pdf/K-29777IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/toilets/shop-smart-toilet,False,
5401IN-0,Veil™ Smart One-piece Toilet,Veil™,5401IN,Toilet Area,Smart Toilet,https://www.kohler.co.in/p/veil-smart-one-piece-toilet-5401in?skuId=5401IN-0,679999.0,,,INR,Smart One-piece Toilet,White,0,,,,"1 TOILET;
1 FLOOR FIXING KIT;
1 INSTALLTION INSTRUCTIONS; 1 COMPLIANCE CERTIFICATION; None","Compact, streamlined one-piece Smart Toilet with integrated personal cleansing.; Elongated bowl offers added room and comfort.; Tankless design with direct water supply.; Dual flush offers a choice of 0.8 or 1.28 gpf (3.0 or 4.9 lpf).; Front and rear wash modes provide warm water for cleansing.; Self-cleaning function uses UV light and electrolyzed water systems to sanitize the wand surfaces.; Warm-air drying system with adjustable temperature settings.; Automatic deodorization system.; Heated seat with adjustable temperature settings.; Motion-activated, hands-free opening/closing of seat and cover.; Quiet-Close™ elongated seat allows seat to close quietly.; LED lighting illuminates the bowl to serve as a nightlight.; Integrated bidet functionality featuring a single bidet wand made of stainless steel.; Adjustable spray shape, position, water pressure, water temperature, pulsate, and oscillate functions for the bidet wand.; Touchscreen LCD remote.; Emergency back-up flush feature for power outages.",,,,,True,https://www.kohler.co.in/p/toilets/shop-smart-toilet,False,
28529IN-0,"Leap™ One-piece round-front smart toilet, dual-flush",Leap™,28529IN,Toilet Area,Smart Toilet,https://www.kohler.co.in/p/leap-one-piece-round-front-smart-toilet-dual-flush-28529in?skuId=28529IN-0,446499.0,,,INR,"One-piece round-front smart toilet, dual-flush",White,0,Plastic seat,"Standard 12 inch (305 mm) rough-in; Requires dedicated electrical GFCI circuit (220-240 V, 10 A, 50-60 Hz)",,1 INTELLIGENT TOILET; 1 INSTALLATION GUIDE; 1 REMOTE; 1 WAX RING; 1 ANGLE -VALVE; 1 BATTERY; 1 WARRANTY CARD; 1 FITTING KIT; 1 TEE-VALVE; None,"One-piece toilets integrate the tank and bowl into a seamless, easy-to-clean design; Round-front bowl offers an ideal solution for smaller bathrooms and powder rooms; Rim-to-floor height: 15.7 inch (40 cm); Dual-flush offers a choice of 0.8 or 1.2 gpf (3.0 or 4.5 lpf); Touchless technology allows hands-free operation to actuate the flush; Automatic flushing after every use; flush can also be controlled by the remote control or backup button; Manual flush button on control panel; Fully skirted trapway simplifies cleaning; 1.9 inch (49 mm) fully glazed trapway; Includes bidet seat; Quiet-Close™ functionality to prevent seat from slamming; Grip-Tight bumpers hold seat firmly in place; Stainless steel wand offers adjustable spray shape, position, water pressure, temperature, pulsate, and oscillate functions; Front and rear wash modes provide warm water for cleansing; Self-cleaning function uses UV light to automatically sanitize the wand surfaces; Motion-activated, hands-free opening/closing of cover; Warm-air drying system; Heated seat with adjustable temperature settings; Seat features automatic deodorization; Energy Save feature monitors usage and adjusts heated seat settings to save energy; Includes: premium remote control, fitting kit, wax ring, angle valve, tee connector, batteries, supply line, inlet hose kit, and installation instructions",,,,https://techcomm.kohler.com/techcomm/pdf/K-28529IN_spec_IN_Kohler_en.pdf,True,https://www.kohler.co.in/p/toilets/shop-smart-toilet,False,
